case_id,environment,scenario,wind_model,source_mode,source_description,resolution,number_of_source_cells,radionuclide,emission_factor,emission_rate_bq_s,emission_classification,grid_shape,dx_m,dy_m,dz_m,dt_s,total_time_s,max_concentration_bq_m3,final_max_concentration_bq_m3,total_activity_bq,final_total_activity_bq,centroid_x_m,centroid_y_m,centroid_z_m,final_centroid_x_m,final_centroid_y_m,final_centroid_z_m,runtime_s,n_steps,hrtm_profile,max_dose_field,final_max_dose_field,field_file,status,error
Tc99m_Q0.25_PLANAR_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,planar,planar source (49 cells),high,49,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,27.21655745166641,27.21655745166641,0.0,934.0825312413393,nan,nan,nan,22.194427212946653,15.000000000000002,7.5000000007758105,20.939002131999587,12000,,nan,nan,,OK,
Tc99m_Q0.25_PLANAR_OUTDOOR_SHEAR,outdoor,shear,ShearField,planar,planar source (49 cells),high,49,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,25.2980868747956,25.2980868747956,0.0,851.0179952153844,nan,nan,nan,22.19772702319221,14.999999999999996,7.492845175129529,20.868285880999792,12000,,nan,nan,,OK,
Tc99m_Q0.25_PLANAR_OUTDOOR_GUST,outdoor,gust,GustField,planar,planar source (49 cells),high,49,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,30.45347981841902,30.39129152012803,0.0,957.8340275664909,nan,nan,nan,22.008841867247813,15.0,7.500000000934511,21.634751065000273,12000,,nan,nan,,OK,
Tc99m_Q0.25_PLANAR_OUTDOOR_VORTEX,outdoor,vortex,VortexField,planar,planar source (49 cells),high,49,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,100.89546866851671,100.89546866851671,0.0,1857.1253046443876,nan,nan,nan,15.000000000005288,15.000000000004432,7.500000110981568,21.00864310400084,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,120.05432071896796,120.05432071896796,0.0,1857.1253650192857,nan,nan,nan,15.0,14.999999999999998,7.50000026896987,62.872647305999635,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,98.48807654884564,98.48807654884564,0.0,1849.427353214674,nan,nan,nan,15.00005689178544,14.99877778437626,8.221775059116245,62.78712481000002,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,67.56544998392044,67.56544998392044,0.0,1802.8636715159237,nan,nan,nan,14.998997956973305,14.997979361996611,9.2347565107537,62.458634327000254,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,4.817130148578113,4.817130148578113,0.0,234.30705482378542,nan,nan,nan,15.000000000000009,16.994638947752122,10.980895067639105,64.30008110200015,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,16.358451384508378,16.358451384508378,0.0,934.0929807743406,nan,nan,nan,22.21107582240898,15.0,7.500000002326909,21.46781535500031,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_OUTDOOR_SHEAR,outdoor,shear,ShearField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,14.933942599460009,14.933942599460009,0.0,851.2955471389561,nan,nan,nan,22.21437945487277,15.000000000000002,7.488645983244034,21.21167150599922,12000,,nan,nan,,OK,
