case_id,environment,scenario,wind_model,source_mode,source_description,resolution,number_of_source_cells,radionuclide,emission_factor,emission_rate_bq_s,emission_classification,grid_shape,dx_m,dy_m,dz_m,dt_s,total_time_s,max_concentration_bq_m3,final_max_concentration_bq_m3,total_activity_bq,final_total_activity_bq,centroid_x_m,centroid_y_m,centroid_z_m,final_centroid_x_m,final_centroid_y_m,final_centroid_z_m,runtime_s,n_steps,hrtm_profile,max_dose_field,final_max_dose_field,field_file,status,error
Tc99m_Q0.75_PLANAR_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,81.64967235499613,81.64967235499613,0.0,2802.2475937239,nan,nan,nan,22.19442721294663,15.0,7.5000000007758105,21.09499373700055,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_OUTDOOR_SHEAR,outdoor,shear,ShearField,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,75.89426062438105,75.89426062438105,0.0,2553.053985646064,nan,nan,nan,22.19772702319219,15.000000000000002,7.49284517512953,20.994707674999518,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_OUTDOOR_GUST,outdoor,gust,GustField,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,91.36043945525115,91.1738745603784,0.0,2873.502082699322,nan,nan,nan,22.008841867247803,14.999999999999998,7.500000000934511,21.330594536999342,12000,,nan,nan,,OK,
Tc99m_Q0.75_PLANAR_OUTDOOR_VORTEX,outdoor,vortex,VortexField,planar,planar source (49 cells),high,49,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,302.6864060055814,302.6864060055814,0.0,5571.375913933798,nan,nan,nan,15.000000000005297,15.000000000004434,7.500000110981569,21.0079530160001,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,360.1629621569867,360.1629621569867,0.0,5571.3760950588985,nan,nan,nan,14.999999999999998,14.999999999999998,7.500000268969869,61.92445998400035,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,295.4642296465999,295.4642296465999,0.0,5548.282059644856,nan,nan,nan,15.000056891785437,14.998777784376264,8.221775059116217,62.40274864799903,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,202.69634995179513,202.69634995179513,0.0,5408.591014548119,nan,nan,nan,14.9989979569733,14.997979361996608,9.234756510753673,62.031250570998964,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,14.451390445734575,14.451390445734575,0.0,702.9211644713586,nan,nan,nan,15.000000000000009,16.994638947752122,10.980895067639096,63.59681753800032,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,49.075354153523456,49.075354153523456,0.0,2802.278942322895,nan,nan,nan,22.211075822408983,15.0,7.500000002326911,20.595336503,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_OUTDOOR_SHEAR,outdoor,shear,ShearField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,44.80182779837865,44.80182779837865,0.0,2553.8866414167646,nan,nan,nan,22.214379454872777,15.0,7.488645983244033,20.694852227999945,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_OUTDOOR_GUST,outdoor,gust,GustField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,59.91139971689559,59.88915537772579,0.0,2873.870160976341,nan,nan,nan,22.026058508928458,14.999999999999998,7.500000002778422,21.2487084409986,12000,,nan,nan,,OK,
Tc99m_Q0.75_VOLUMETRIC_OUTDOOR_VORTEX,outdoor,vortex,VortexField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,345.89004022334063,345.89004022334063,0.0,5571.376094700023,nan,nan,nan,15.000000000000725,15.000000000000583,7.500000268658914,20.657016791999922,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1217.0662787725723,1217.0662787725723,0.0,7428.50121877417,nan,nan,nan,15.0,15.000000000000002,7.500000111117281,61.50656209999943,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,939.1509146801574,939.1509146801574,0.0,7402.463624929235,nan,nan,nan,14.999446829864738,15.008468652023614,8.22392662064989,61.76819504699961,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,677.8520622530073,677.8520622530073,0.0,7232.467153205598,nan,nan,nan,14.99747673398161,15.021613075313299,9.246218474843985,61.81899326700113,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,65.83101801188745,65.83101801188745,0.0,937.23121387251,nan,nan,nan,15.000000000000005,16.989098650790684,10.991994127574504,63.27454705799937,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,367.55900364865676,367.55900364865676,0.0,3736.3382573931067,nan,nan,nan,22.197756570912997,15.0,7.500000000764409,20.69796274500004,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_OUTDOOR_SHEAR,outdoor,shear,ShearField,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,346.306498152452,346.306498152452,0.0,3404.077772499933,nan,nan,nan,22.201056385657782,14.999999999999996,7.492848239667072,20.590312192000056,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_OUTDOOR_GUST,outdoor,gust,GustField,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,407.8719842732499,395.12318136235115,0.0,3831.4864119029644,nan,nan,nan,22.01239334256686,15.000000000000002,7.500000000921111,21.10284997599956,12000,,nan,nan,,OK,
Tc99m_Q1_MULTIPLE_POINTS_OUTDOOR_VORTEX,outdoor,vortex,VortexField,multiple_points,5 point sources,high,5,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1194.3285268202196,1194.3285268202196,0.0,7428.501218573798,nan,nan,nan,15.000000000002903,15.000000000002332,7.500000110981568,20.860572960000354,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,411.71280294461803,411.71280294461803,0.0,7428.501218773648,nan,nan,nan,14.999999999999998,15.0,7.50000011111728,61.8748190740007,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,282.4348407751441,282.4348407751441,0.0,7421.1270140429615,nan,nan,nan,14.999457934196004,14.998014498727459,8.225186541262566,61.822012484999505,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,158.42917052357893,158.42917052357893,0.0,7288.677185702813,nan,nan,nan,14.997490037577782,14.995442129562317,9.25053828269787,62.156454629999644,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,10.179995925050683,10.179995925050683,0.0,937.2311773854381,nan,nan,nan,15.000000000000016,16.98909814601825,10.99199401289687,63.57234875999893,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,108.86622980666564,108.86622980666564,0.0,3736.3301249653573,nan,nan,nan,22.194427212946653,15.000000000000002,7.5000000007758105,20.702439224000045,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_OUTDOOR_SHEAR,outdoor,shear,ShearField,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,101.1923474991824,101.1923474991824,0.0,3404.0719808615377,nan,nan,nan,22.19772702319221,14.999999999999996,7.492845175129529,20.812696906001293,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_OUTDOOR_GUST,outdoor,gust,GustField,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,121.81391927367608,121.56516608051211,0.0,3831.3361102659637,nan,nan,nan,22.008841867247813,15.0,7.500000000934511,21.2417219759991,12000,,nan,nan,,OK,
Tc99m_Q1_PLANAR_OUTDOOR_VORTEX,outdoor,vortex,VortexField,planar,planar source (49 cells),high,49,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,403.58187467406685,403.58187467406685,0.0,7428.50121857755,nan,nan,nan,15.000000000005288,15.000000000004432,7.500000110981568,20.906075732000318,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,480.21728287587183,480.21728287587183,0.0,7428.501460077143,nan,nan,nan,15.0,14.999999999999998,7.50000026896987,62.359376013000656,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,393.95230619538256,393.95230619538256,0.0,7397.709412858696,nan,nan,nan,15.00005689178544,14.99877778437626,8.221775059116245,61.89866114199867,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,270.2617999356818,270.2617999356818,0.0,7211.454686063695,nan,nan,nan,14.998997956973305,14.997979361996611,9.2347565107537,62.66533067799901,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,19.268520594312452,19.268520594312452,0.0,937.2282192951417,nan,nan,nan,15.000000000000009,16.994638947752122,10.980895067639105,64.3091403769995,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,65.43380553803351,65.43380553803351,0.0,3736.3719230973625,nan,nan,nan,22.21107582240898,15.0,7.500000002326909,20.733312249998562,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_OUTDOOR_SHEAR,outdoor,shear,ShearField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,59.735770397840035,59.735770397840035,0.0,3405.1821885558243,nan,nan,nan,22.21437945487277,15.000000000000002,7.488645983244034,20.810255127000346,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_OUTDOOR_GUST,outdoor,gust,GustField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,79.88186628919647,79.85220717030327,0.0,3831.8268813019204,nan,nan,nan,22.02605850892846,14.999999999999996,7.50000000277842,21.44474739299949,12000,,nan,nan,,OK,
Tc99m_Q1_VOLUMETRIC_OUTDOOR_VORTEX,outdoor,vortex,VortexField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.0,100.0,REFERENCE,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,461.1867202976846,461.1867202976846,0.0,7428.501459598737,nan,nan,nan,15.000000000000727,15.000000000000584,7.500000268658915,20.739034083999286,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1825.5994181588562,1825.5994181588562,0.0,11142.751828161243,nan,nan,nan,15.0,15.0,7.50000011111728,61.48771232400031,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1408.7263720202363,1408.7263720202363,0.0,11103.695437393857,nan,nan,nan,14.999446829864736,15.008468652023614,8.223926620649891,61.66527835299894,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1016.7780933795115,1016.7780933795115,0.0,10848.700729808392,nan,nan,nan,14.997476733981612,15.021613075313299,9.246218474843989,61.43534068600093,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,98.74652701783255,98.74652701783255,0.0,1405.846820808769,nan,nan,nan,15.000000000000005,16.98909865079069,10.991994127574502,63.296299604000524,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,551.3385054729785,551.3385054729785,0.0,5604.507386089713,nan,nan,nan,22.19775657091298,15.0,7.500000000764411,20.669444827000916,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_OUTDOOR_SHEAR,outdoor,shear,ShearField,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,519.4597472287002,519.4597472287002,0.0,5106.116658750004,nan,nan,nan,22.20105638565775,15.0,7.492848239667078,20.852300853999623,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_OUTDOOR_GUST,outdoor,gust,GustField,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,611.8079764098732,592.6847720435277,0.0,5747.22961785445,nan,nan,nan,22.01239334256686,15.0,7.50000000092111,21.0657737370002,12000,,nan,nan,,OK,
Tc99m_Q1.5_MULTIPLE_POINTS_OUTDOOR_VORTEX,outdoor,vortex,VortexField,multiple_points,5 point sources,high,5,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1791.49279023033,1791.49279023033,0.0,11142.751827860677,nan,nan,nan,15.000000000002906,15.000000000002336,7.500000110981568,20.613011174998974,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,617.5692044169842,617.5692044169842,0.0,11142.751828161869,nan,nan,nan,14.999999999999996,14.999999999999996,7.500000111117276,61.836967989000186,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,423.6522611628063,423.6522611628063,0.0,11131.690521064837,nan,nan,nan,14.999457934196004,14.99801449872746,8.22518654126253,62.241467765999914,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,237.64375578534643,237.64375578534643,0.0,10933.015778553276,nan,nan,nan,14.997490037577784,14.995442129562319,9.250538282697882,61.94789233600022,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,15.269993887576101,15.269993887576101,0.0,1405.8467660781803,nan,nan,nan,15.000000000000009,16.989098146018247,10.991994012896866,63.33317733199874,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,163.29934470999225,163.29934470999225,0.0,5604.4951874478,nan,nan,nan,22.19442721294663,15.0,7.5000000007758105,20.700094134999745,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_OUTDOOR_SHEAR,outdoor,shear,ShearField,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,151.7885212487621,151.7885212487621,0.0,5106.107971292128,nan,nan,nan,22.19772702319219,15.000000000000002,7.49284517512953,20.777335909999238,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_OUTDOOR_GUST,outdoor,gust,GustField,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,182.7208789105023,182.3477491207568,0.0,5747.004165398644,nan,nan,nan,22.008841867247803,14.999999999999998,7.500000000934511,21.261224751000555,12000,,nan,nan,,OK,
Tc99m_Q1.5_PLANAR_OUTDOOR_VORTEX,outdoor,vortex,VortexField,planar,planar source (49 cells),high,49,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,605.3728120111628,605.3728120111628,0.0,11142.751827867596,nan,nan,nan,15.000000000005297,15.000000000004434,7.500000110981569,20.631736489000104,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,720.3259243139734,720.3259243139734,0.0,11142.752190117797,nan,nan,nan,14.999999999999998,14.999999999999998,7.500000268969869,62.05632674299886,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,590.9284592931998,590.9284592931998,0.0,11096.564119289713,nan,nan,nan,15.000056891785437,14.998777784376264,8.221775059116217,61.926616249998915,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,405.39269990359026,405.39269990359026,0.0,10817.182029096239,nan,nan,nan,14.9989979569733,14.997979361996608,9.234756510753673,61.78241146200162,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,28.90278089146915,28.90278089146915,0.0,1405.8423289427171,nan,nan,nan,15.000000000000009,16.994638947752122,10.980895067639096,63.44267046599998,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,98.15070830704691,98.15070830704691,0.0,5604.55788464579,nan,nan,nan,22.211075822408983,15.0,7.500000002326911,20.936323248999543,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_OUTDOOR_SHEAR,outdoor,shear,ShearField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,89.6036555967573,89.6036555967573,0.0,5107.773282833529,nan,nan,nan,22.214379454872777,15.0,7.488645983244033,20.804916398001296,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_OUTDOOR_GUST,outdoor,gust,GustField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,119.82279943379118,119.77831075545159,0.0,5747.740321952682,nan,nan,nan,22.026058508928458,14.999999999999998,7.500000002778422,21.197497942001064,12000,,nan,nan,,OK,
Tc99m_Q1.5_VOLUMETRIC_OUTDOOR_VORTEX,outdoor,vortex,VortexField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,1.5,150.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,691.7800804466813,691.7800804466813,0.0,11142.752189400046,nan,nan,nan,15.000000000000725,15.000000000000583,7.500000268658914,20.733245666000585,12000,,nan,nan,,OK,
Tc99m_Q2_MULTIPLE_POINTS_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,multiple_points,5 point sources,high,5,Tc-99m,2.0,200.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,2434.1325575451447,2434.1325575451447,0.0,14857.00243754834,nan,nan,nan,15.0,15.000000000000002,7.500000111117281,61.867087528999036,12000,,nan,nan,,OK,
Tc99m_Q2_MULTIPLE_POINTS_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,multiple_points,5 point sources,high,5,Tc-99m,2.0,200.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1878.3018293603147,1878.3018293603147,0.0,14804.92724985847,nan,nan,nan,14.999446829864738,15.008468652023614,8.22392662064989,61.844376363000265,12000,,nan,nan,,OK,
Tc99m_Q2_MULTIPLE_POINTS_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,multiple_points,5 point sources,high,5,Tc-99m,2.0,200.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,1355.7041245060145,1355.7041245060145,0.0,14464.934306411196,nan,nan,nan,14.99747673398161,15.021613075313299,9.246218474843985,61.96982539899909,12000,,nan,nan,,OK,
Tc99m_Q2_MULTIPLE_POINTS_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,multiple_points,5 point sources,high,5,Tc-99m,2.0,200.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,131.6620360237749,131.6620360237749,0.0,1874.46242774502,nan,nan,nan,15.000000000000005,16.989098650790684,10.991994127574504,63.42433289700057,12000,,nan,nan,,OK,
Tc99m_Q2_MULTIPLE_POINTS_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,multiple_points,5 point sources,high,5,Tc-99m,2.0,200.0,UNCONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,735.1180072973135,735.1180072973135,0.0,7472.676514786213,nan,nan,nan,22.197756570912997,15.0,7.500000000764409,20.727837708000152,12000,,nan,nan,,OK,
